timestamp,ip,username,event,service,port,path,status,message
2026-05-13T11:00:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,FAIL,bad login
2026-05-13T11:01:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,FAIL,bad login
2026-05-13T11:02:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,FAIL,bad login
2026-05-13T11:03:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,FAIL,bad login
2026-05-13T11:04:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,FAIL,bad login
2026-05-13T11:05:00Z,192.168.10.5,root,LOGIN,ssh,22,/login,SUCCESS,login successful
2026-05-13T11:10:00Z,10.10.0.8,visitor,REQUEST,http,80,/index.html,OK,normal page view
2026-05-13T11:11:00Z,10.10.0.8,visitor,REQUEST,http,80,/../../etc/passwd,FAIL,path traversal attempt
2026-05-13T11:12:00Z,10.10.0.8,visitor,REQUEST,http,80,/search?q=union+select+email,FAIL,sql injection attempt
2026-05-13T11:13:00Z,10.10.0.8,visitor,REQUEST,http,80,/comment?text=<script>alert(1)</script>,FAIL,xss attempt
2026-05-13T11:20:00Z,172.20.1.9,unknown,CONNECT,tcp,21,/connect,FAIL,connection refused
2026-05-13T11:20:20Z,172.20.1.9,unknown,CONNECT,tcp,22,/connect,FAIL,connection refused
2026-05-13T11:20:40Z,172.20.1.9,unknown,CONNECT,tcp,23,/connect,FAIL,connection refused
2026-05-13T11:21:00Z,172.20.1.9,unknown,CONNECT,tcp,25,/connect,FAIL,connection refused
2026-05-13T11:21:20Z,172.20.1.9,unknown,CONNECT,tcp,53,/connect,FAIL,connection refused
2026-05-13T11:21:40Z,172.20.1.9,unknown,CONNECT,tcp,80,/connect,FAIL,connection refused
2026-05-13T11:30:00Z,203.0.113.77,bot,REQUEST,http,80,/wp-login.php,FAIL,wordpress probe
2026-05-13T11:31:00Z,203.0.113.77,bot,REQUEST,http,80,/admin,FAIL,admin probe
2026-05-13T11:32:00Z,203.0.113.77,bot,REQUEST,db,5432,/connect,FAIL,database access attempt
2026-05-13T11:33:00Z,203.0.113.77,bot,REQUEST,cache,6379,/connect,FAIL,redis access attempt
