timestamp,ip,username,event,service,port,path,status,message
2026-05-13T10:00:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,FAIL,invalid password
2026-05-13T10:01:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,FAIL,invalid password
2026-05-13T10:02:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,FAIL,invalid password
2026-05-13T10:03:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,FAIL,invalid password
2026-05-13T10:04:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,FAIL,invalid password
2026-05-13T10:05:00Z,192.168.1.25,admin,LOGIN,ssh,22,/login,SUCCESS,logged in
2026-05-13T10:07:00Z,10.0.0.44,guest,REQUEST,http,80,/index.html,OK,normal request
2026-05-13T10:08:00Z,10.0.0.44,guest,REQUEST,http,80,/../../etc/passwd,FAIL,path traversal attempt
2026-05-13T10:09:00Z,10.0.0.44,guest,REQUEST,http,80,/search?q=union+select+password,FAIL,possible SQL injection
2026-05-13T10:10:00Z,10.0.0.44,guest,REQUEST,http,80,/comment?text=<script>alert(1)</script>,FAIL,possible XSS
2026-05-13T10:12:00Z,172.16.5.9,scanner,CONNECT,tcp,21,/connect,FAIL,connection refused
2026-05-13T10:12:20Z,172.16.5.9,scanner,CONNECT,tcp,22,/connect,FAIL,connection refused
2026-05-13T10:12:40Z,172.16.5.9,scanner,CONNECT,tcp,23,/connect,FAIL,connection refused
2026-05-13T10:13:00Z,172.16.5.9,scanner,CONNECT,tcp,25,/connect,FAIL,connection refused
2026-05-13T10:13:20Z,172.16.5.9,scanner,CONNECT,tcp,53,/connect,FAIL,connection refused
2026-05-13T10:13:40Z,172.16.5.9,scanner,CONNECT,tcp,80,/connect,FAIL,connection refused
2026-05-13T10:14:00Z,172.16.5.9,scanner,CONNECT,tcp,443,/connect,FAIL,connection refused
2026-05-13T10:20:00Z,203.0.113.10,bot,REQUEST,http,80,/wp-login.php,FAIL,wordpress login probe
2026-05-13T10:21:00Z,203.0.113.10,bot,REQUEST,http,80,/admin,FAIL,admin panel probe
2026-05-13T10:22:00Z,203.0.113.10,bot,REQUEST,http,80,/api/users,OK,enumerating users
2026-05-13T10:23:00Z,203.0.113.10,bot,REQUEST,https,443,/api/orders,OK,enumerating orders
2026-05-13T10:24:00Z,203.0.113.10,bot,REQUEST,db,5432,/connect,FAIL,database access attempt
2026-05-13T10:25:00Z,203.0.113.10,bot,REQUEST,cache,6379,/connect,FAIL,redis access attempt
